"Name","Team","Consensus","Andy","Jason","Mike"
"Saquon Barkley","NYG","1","1","1","2"
"Christian McCaffrey","CAR","2","2","3","1"
"Alvin Kamara","NO","3","3","2","4"
"Ezekiel Elliott","DAL","4","6","4","3"
"David Johnson","ARI","5","7","5","5"
"Todd Gurley","LAR","6","4","8","7"
"Le'Veon Bell","NYJ","7","9","7","8"
"Dalvin Cook","MIN","8","5","6","14"
"James Conner","PIT","9","10","11","6"
"Nick Chubb","CLE","10","8","13","11"
"Kerryon Johnson","DET","11","13","9","13"
"Joe Mixon","CIN","12","15","10","12"
"Damien Williams","KC","13","16","15","9"
"Devonta Freeman","ATL","14","14","16","10"
"Josh Jacobs","OAK","15","11","17","18"
"Aaron Jones","GB","16","12","18","17"
"Leonard Fournette","JAX","17","22","14","16"
"Sony Michel","NE","18","19","22","15"
"Chris Carson","SEA","19","17","21","20"
"Marlon Mack","IND","20","20","19","19"
"Derrick Henry","TEN","21","18","20","22"
"Melvin Gordon","LAC","22","23","12","28"
"David Montgomery","CHI","23","24","25","24"
"Tevin Coleman","SF","24","21","32","23"
"Miles Sanders","PHI","25","25","30","21"
"Kenyan Drake","MIA","26","28","23","26"
"Phillip Lindsay","DEN","27","31","26","25"
"Lamar Miller","HOU","28","30","28","27"
"Mark Ingram","BAL","29","26","31","30"
"Tarik Cohen","CHI","30","29","27","33"
"James White","NE","31","27","24","38"
"Rashaad Penny","SEA","32","33","29","35"
"Austin Ekeler","LAC","33","32","35","32"
"Latavius Murray","NO","34","36","34","31"
"Peyton Barber","TB","35","39","37","29"
"Royce Freeman","DEN","36","34","36","39"
"Matt Breida","SF","37","35","33","43"
"Kalen Ballage","MIA","38","37","43","37"
"LeSean McCoy","BUF","39","48","38","34"
"Adrian Peterson","WAS","40","38","40","45"
"Darrell Henderson","LAR","41","41","47","42"
"Dion Lewis","TEN","42","45","51","36"
"Nyheim Hines","IND","43","44","44","44"
"Derrius Guice","WAS","44","40","53","41"
"Jordan Howard","PHI","45","43","39","52"
"Duke Johnson","HOU","46","54","42","46"
"Kareem Hunt","CLE","47","42","45","55"
"Chris Thompson","WAS","48","46","49","51"
"Damien Harris","NE","49","67","41","40"
"Jamaal Williams","GB","50","47","55","48"
"Alexander Mattison","MIN","51","50","48","57"
"Justin Jackson","LAC","52","51","46","63"
"CJ Anderson","DET","53","58","54","50"
"Jalen Richard","OAK","54","59","56","53"
"Ito Smith","ATL","55","52","67","49"
"Darwin Thompson","KC","56","49","50","71"
"Giovani Bernard","CIN","57","53","59","60"
"Devin Singletary","BUF","58","60","52","62"
"Carlos Hyde","KC","59","61","60","58"
"Ronald Jones II","TB","60","57","57","65"
"Frank Gore","BUF","61","69","58","54"
"Mike Davis","CHI","62","55","64","66"
"Malcolm Brown","LAR","63","62","65","59"
"Jaylen Samuels","PIT","64","68","72","47"
"Jerick McKinnon","SF","65","63","61","64"
"Justice Hill","BAL","66","64","66","61"
"Alfred Blue","JAX","67","77","68","56"
"Doug Martin","OAK","68","66","71","67"
"Benny Snell Jr.","PIT","69","56","75","76"
"Chase Edmonds","ARI","70","71","69","68"
"Gus Edwards","BAL","71","65","74","70"
"Qadree Ollison","ATL","72","75","63","73"
"Kenneth Dixon","BAL","73","78","62","72"
"Theo Riddick","DEN","74","70","70","74"
"D'Onta Foreman","IND","75","72","73","75"
"Devontae Booker","DEN","76","73","80","69"
"Elijah McGuire","NYJ","77","74","76","77"
"Ryquell Armstead","JAX","78","76","77","78"
"Bryce Love","WAS","79","79","78","79"
"Myles Gaskin","MIA","80","80","79","80"
