"Name","Team","Consensus","Andy","Jason","Mike"
"Davante Adams","GB","1","4","1","1"
"DeAndre Hopkins","HOU","2","1","2","3"
"Julio Jones","ATL","3","2","3","2"
"Odell Beckham Jr","CLE","4","3","6","4"
"Tyreek Hill","KC","5","5","4","6"
"JuJu Smith-Schuster","PIT","6","6","5","5"
"Michael Thomas","NO","7","8","7","7"
"T.Y. Hilton","IND","8","7","13","8"
"Mike Evans","TB","9","11","9","10"
"Antonio Brown","OAK","10","12","8","11"
"Adam Thielen","MIN","11","15","10","12"
"Keenan Allen","LAC","12","9","15","14"
"Robert Woods","LAR","13","14","11","13"
"Julian Edelman","NE","14","17","12","9"
"Amari Cooper","DAL","15","10","16","16"
"Stefon Diggs","MIN","16","16","14","15"
"Brandin Cooks","LAR","17","13","17","17"
"Tyler Lockett","SEA","18","22","18","22"
"Kenny Golladay","DET","19","21","22","21"
"Tyler Boyd","CIN","20","19","23","23"
"Cooper Kupp","LAR","21","27","20","19"
"Chris Godwin","TB","22","20","21","26"
"Robby Anderson","NYJ","23","26","27","18"
"Alshon Jeffery","PHI","24","28","24","20"
"D.J. Moore","CAR","25","24","19","29"
"Mike Williams","LAC","26","18","29","30"
"Calvin Ridley","ATL","27","25","25","27"
"Marvin Jones","DET","28","29","32","25"
"AJ Green","CIN","29","31","31","31"
"Jarvis Landry","CLE","30","23","34","36"
"Dante Pettis","SF","31","44","30","24"
"Allen Robinson","CHI","32","36","36","28"
"Dede Westbrook","JAX","33","35","33","33"
"Geronimo Allison","GB","34","39","41","32"
"Will Fuller","HOU","35","34","43","37"
"Sterling Shepard","NYG","36","46","28","40"
"Sammy Watkins","KC","37","55","26","34"
"Christian Kirk","ARI","38","30","44","42"
"Larry Fitzgerald","ARI","39","38","40","47"
"DeSean Jackson","PHI","40","32","54","41"
"Anthony Miller","CHI","41","42","47","38"
"Corey Davis","TEN","42","40","39","52"
"Marquez Valdes-Scantling","GB","43","33","37","62"
"Curtis Samuel","CAR","44","52","35","50"
"Keke Coutee","HOU","45","45","45","48"
"Albert Wilson","MIA","46","47","51","43"
"Emmanuel Sanders","DEN","47","41","58","44"
"Courtland Sutton","DEN","48","61","38","45"
"Donte Moncrief","PIT","49","50","56","39"
"Mohamed Sanu","ATL","50","37","55","53"
"Kenny Stills","MIA","51","70","42","35"
"Tyrell Williams","OAK","52","51","59","49"
"John Brown","BUF","53","62","46","54"
"Jamison Crowder","NYJ","54","53","50","59"
"Michael Gallup","DAL","55","57","52","58"
"N'Keal Harry","NE","56","43","68","56"
"Golden Tate","NYG","57","65","48","60"
"D.K. Metcalf","SEA","58","48","63","66"
"Devin Funchess","IND","59","49","65","64"
"Paul Richardson","WAS","60","63","62","61"
"Daesean Hamilton","DEN","61","74","49","67"
"A.J. Brown","TEN","62","66","64","63"
"Quincy Enunwa","NYJ","63","56","60","79"
"Marqise Lee","JAX","64","71","57","70"
"Robert Foster","BUF","65","59","88","57"
"Adam Humphries","TEN","66","60","69","76"
"Danny Amendola","DET","67","54","82","72"
"Cole Beasley","BUF","68","64","74","75"
"Ted Ginn","NO","69","75","92","46"
"Marquise Brown","BAL","70","69","67","78"
"Tre'Quan Smith","NO","71","81","61","77"
"Nelson Agholor","PHI","72","68","77","74"
"Josh Doctson","WAS","73","105","66","51"
"Parris Campbell","IND","74","95","76","55"
"Randall Cobb","DAL","75","82","75","71"
"Zay Jones","BUF","76","89","53","88"
"Antonio Callaway","CLE","77","87","81","65"
"Taylor Gabriel","CHI","78","73","87","73"
"Devante Parker","MIA","79","93","72","69"
"Willie Snead","BAL","80","78","79","80"
"Andy Isabella","ARI","81","76","78","86"
"Marquise Goodwin","SF","82","80","80","81"
"Chris Conley","JAX","83","67","91","83"
"John Ross","CIN","84","86","70","87"
"Travis Benjamin","LAC","85","88","90","68"
"David Moore","SEA","86","92","73","84"
"Deebo Samuel","SF","87","79","84","92"
"Mecole Hardman","KC","88","72","103","85"
"JJ Arcega-Whiteside","PHI","89","83","89","90"
"James Washington","PIT","90","90","85","91"
"Breshad Perriman","TB","91","58","104","104"
"Keelan Cole","JAX","92","98","71","99"
"Phillip Dorsett","NE","93","97","86","89"
"Trent Taylor","SF","94","101","94","82"
"Hakeem Butler","ARI","95","91","93","93"
"Terry McLaurin","WAS","96","85","98","96"
"Diontae Johnson","PIT","97","77","101","103"
"Jalen Hurd","SF","98","99","83","100"
"Rashard Higgins","CLE","99","84","97","102"
"Chris Hogan","CAR","100","94","99","94"
"Equanimeous St. Brown","GB","101","96","95","97"
"Taywan Taylor","TEN","102","100","96","101"
"Tim Patrick","DEN","103","102","100","95"
"Miles Boykin","BAL","104","103","102","98"
"Kelvin Harmon","WAS","105","104","105","105"
