"Name","Team","Consensus","Andy","Jason","Mike"
"Patrick Mahomes","KC","1","1","1","1"
"Deshaun Watson","HOU","2","2","2","3"
"Aaron Rodgers","GB","3","3","3","2"
"Andrew Luck","IND","4","6","6","8"
"Carson Wentz","PHI","5","5","4","11"
"Cam Newton","CAR","6","9","5","6"
"Matt Ryan","ATL","7","4","14","4"
"Jared Goff","LAR","8","8","8","7"
"Baker Mayfield","CLE","9","10","9","5"
"Drew Brees","NO","10","11","10","9"
"Russell Wilson","SEA","11","7","7","16"
"Jameis Winston","TB","12","14","11","12"
"Kyler Murray","ARI","13","13","16","10"
"Ben Roethlisberger","PIT","14","12","19","15"
"Josh Allen","BUF","15","17","12","18"
"Lamar Jackson","BAL","16","19","13","17"
"Dak Prescott","DAL","17","16","21","13"
"Mitch Trubisky","CHI","18","20","15","19"
"Kirk Cousins","MIN","19","21","20","14"
"Philip Rivers","LAC","20","18","17","21"
"Tom Brady","NE","21","15","22","20"
"Jimmy Garoppolo","SF","22","22","18","24"
"Matthew Stafford","DET","23","23","27","22"
"Andy Dalton","CIN","24","25","23","25"
"Derek Carr","OAK","25","26","24","23"
"Sam Darnold","NYJ","26","27","26","27"
"Nick Foles","JAX","27","24","29","28"
"Marcus Mariota","TEN","28","28","25","29"
"Joe Flacco","DEN","29","30","30","26"
"Eli Manning","NYG","30","29","28","30"
"Dwayne Haskins","WAS","31","33","31","31"
"Ryan Fitzpatrick","MIA","32","31","32","33"
"Josh Rosen","MIA","33","34","33","32"
"Case Keenum","WAS","34","32","34","34"
